Run,pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,Order
410,5.07,5.27,52,1.14,36.1,0.694,41,100,13,29,201
411,4.15,7.11,96,0.64,33.0,1.414,48,277,13,23,161
412,6.44,9.12,97,1.84,25.8,0.997,97,188,96,20,43
413,5.48,4.05,61,4.08,20.0,1.347,1,293,3,19,217
414,3.92,3.35,71,1.57,21.5,0.535,83,324,60,13,401
415,7.26,3.87,51,4.87,23.7,1.205,50,68,41,45,190
416,5.75,9.59,48,2.61,29.1,1.556,22,352,64,1,309
417,8.22,3.7,118,3.8,20.9,0.661,94,349,50,8,259
418,8.2,3.42,33,4.76,38.0,1.86,83,283,20,12,105
419,6.66,4.45,77,3.89,38.9,1.197,47,248,37,3,53
420,8.72,9.0,114,1.51,36.7,1.698,55,200,36,19,389
421,8.25,5.59,98,4.79,35.6,1.577,52,123,5,9,1
422,4.86,5.86,101,3.67,36.5,0.502,74,327,66,30,441
423,3.66,6.26,12,0.8,37.0,0.934,85,224,5,15,482
424,4.49,3.83,45,1.39,24.3,1.336,14,45,30,44,49
425,8.73,3.85,97,1.66,29.6,1.499,67,470,18,33,419
426,7.42,7.95,114,2.62,35.3,1.469,11,433,30,4,80
427,7.97,8.82,59,0.95,29.5,1.701,35,42,63,27,205
428,5.36,7.03,85,3.44,36.8,1.901,9,27,92,12,34
429,8.29,1.48,72,1.97,24.6,0.985,79,193,9,49,263
430,7.12,4.94,27,3.57,31.8,0.58,26,241,86,38,427
431,5.35,9.56,14,4.68,32.4,0.695,46,20,77,46,366
432,6.07,8.2,68,4.86,39.8,0.974,99,77,49,20,91
433,4.1,8.68,83,3.71,33.6,1.037,14,238,27,0,339
434,8.57,7.6,87,2.37,24.0,0.705,94,450,46,26,473
435,7.69,2.92,17,2.33,38.0,1.685,59,300,29,33,52
436,8.53,4.8,22,3.55,39.6,1.95,87,339,37,31,345
437,3.55,2.03,118,4.2,30.0,1.796,7,121,94,50,264
438,6.99,9.97,89,3.47,29.0,0.901,16,169,70,23,241
439,8.34,2.1,84,1.1,20.4,1.574,37,192,47,19,13
440,6.43,1.5,101,0.9,35.0,1.654,7,390,69,16,315
441,3.7,5.96,26,2.86,37.2,0.767,21,8,46,36,88
442,4.21,1.57,105,1.78,38.9,1.425,97,423,85,37,387
443,5.68,5.87,114,1.29,32.7,0.736,64,437,70,2,273
444,6.63,8.87,94,0.88,21.1,1.857,4,117,41,17,166
445,8.76,3.82,95,3.11,27.4,1.99,49,245,94,1,328
446,7.71,8.97,46,2.23,21.0,1.0,37,431,67,36,492
447,6.52,2.83,71,4.95,37.2,0.868,38,406,80,34,134
448,3.96,4.96,73,4.32,26.4,1.884,72,22,35,26,306
449,8.95,9.61,88,2.2,36.5,0.568,47,273,81,23,480
450,4.05,3.88,31,3.25,25.1,1.138,79,302,6,6,319
451,6.5,5.56,12,4.41,33.0,1.774,13,161,15,41,243
452,8.9,1.8,85,4.99,28.1,1.003,70,2,16,17,54
453,8.28,8.92,17,2.75,28.4,0.883,84,289,53,34,363
454,5.97,6.49,43,1.23,23.6,0.755,96,293,27,39,50
455,5.6,4.44,86,4.36,25.3,1.696,41,237,39,46,456
456,7.6,1.83,52,2.34,29.5,0.522,30,240,76,46,174
457,3.26,2.38,76,2.41,27.9,0.948,32,88,36,37,445
458,5.53,6.55,118,3.16,33.8,1.708,33,97,7,22,189
459,5.45,6.81,99,0.91,39.3,1.519,73,201,69,45,496
460,7.39,6.1,69,3.18,39.9,1.049,6,361,81,23,187
461,3.93,8.22,87,2.63,21.3,1.849,44,142,82,15,169
462,7.11,3.71,22,1.26,27.4,0.95,80,354,65,24,58
463,4.69,2.89,68,2.82,37.0,0.861,78,275,44,4,48
464,3.64,3.22,68,4.62,30.2,1.553,66,218,66,48,344
465,8.39,6.54,43,3.78,23.8,1.973,72,490,87,16,235
466,6.26,7.68,28,2.88,25.5,1.514,62,104,32,9,252
467,6.91,6.32,90,1.75,36.4,0.808,69,330,29,10,21
468,3.25,8.09,12,4.02,26.2,0.968,78,180,68,43,313
469,5.74,3.04,84,0.71,36.2,1.834,52,314,56,48,459
470,7.94,1.7,112,3.34,37.1,0.738,67,232,37,30,160
471,5.27,9.12,83,1.48,30.9,0.541,78,23,38,12,276
472,5.64,3.95,93,4.96,34.5,1.369,49,389,71,24,443
473,7.91,7.09,100,3.46,37.5,0.628,55,94,86,12,191
474,8.26,8.09,63,0.72,25.1,0.701,9,203,17,39,385
475,6.97,4.99,68,1.94,31.1,0.874,13,464,95,14,293
476,7.27,2.85,40,1.67,36.8,1.636,56,147,24,14,413
477,8.69,8.15,79,3.02,37.7,1.633,70,325,25,43,343
478,5.05,9.85,72,2.89,40.0,1.283,84,235,73,37,257
479,6.4,6.97,70,1.73,35.8,1.935,18,435,56,25,308
480,3.5,9.28,117,1.27,38.2,1.09,88,139,70,9,149
481,4.38,3.99,51,3.94,31.3,1.735,15,52,79,6,130
482,4.9,3.18,57,3.19,22.8,1.064,95,466,39,40,151
483,6.11,6.29,18,2.28,35.1,1.895,10,427,79,47,359
484,6.38,4.72,26,1.28,25.3,0.906,35,364,81,10,99
485,5.82,8.12,39,2.64,39.1,1.405,21,412,28,50,372
486,8.75,6.92,48,1.43,23.5,1.392,43,76,4,47,87
487,6.57,4.53,119,0.84,36.6,0.608,51,415,38,35,458
488,6.45,4.29,78,3.36,34.3,1.875,40,238,59,30,330
489,8.09,6.37,56,2.94,26.0,1.784,89,142,15,14,214
490,3.4,2.6,20,3.07,36.8,1.039,49,141,11,31,466
491,3.43,7.29,61,2.45,31.2,1.095,16,448,61,33,121
492,8.82,5.36,62,4.46,22.6,1.584,10,234,71,13,499
493,5.62,6.27,29,3.81,20.7,0.771,35,58,29,34,20
494,4.83,2.39,14,1.33,32.9,1.637,65,153,82,40,188
495,8.19,6.04,22,1.9,21.6,1.878,31,162,56,11,71
496,5.47,3.18,111,4.83,34.9,0.943,24,114,70,4,106
497,6.24,7.87,82,1.15,32.0,1.523,24,107,86,50,270
498,5.78,9.78,21,1.32,23.4,1.624,65,296,57,3,348
499,8.03,1.66,99,3.84,34.0,0.765,48,480,3,44,435
500,7.51,7.02,33,2.75,28.5,1.725,61,376,55,16,102
